Model,Accuracy,Precision,Recall,F1-score,AUC
Random Forest,0.8653061224489796,0.6666666666666666,0.09615384615384616,0.16806722689075632,0.756560099963428
Logistic Regression,0.8598639455782313,0.5106382978723404,0.23076923076923078,0.31788079470198677,0.7596001462879434
